index,name,services,rating,bonus
38, Burger & Lobster ," American, Burgers, and Seafood", 4.6 ,
39, Ambience," Burgers, Turkish, Seafood, and Salads", 4.5 ,
40, Smack Lobster Roll ," American, Sandwiches, Burgers, and Seafood", 4.7 ,
41, Handmade Burger Co - Wandsworth," Burgers, BBQ, Milkshakes, and American", 4.1 ,
42, Epic Vegan Chick ," American, Burgers, and Fried chicken", 4.6 ,
43, The Farmer's Mistress," British, Burgers, Salads, and Milkshakes", 4.8 ,
44, Smoke Daddies," American, Burgers, and Chicken", 4.6 ,
45, Papas Tops Pizza," Pizza, Dessert, Burgers, and Pasta", 4.5 ,
46, Seascape Fish Bar," Seafood, Fish and chips, Burgers, and Chicken", 4.6 ,
47, Piri Piri Grill - 14 Upper Tooting Road," Chicken, American, Fried chicken, and Burgers", 4.5 ,
48, EGGRUN 🥚🏃‍♂️," Sandwiches, Breakfast, Brunch, and Burgers", 4.8 ,
49, Lighthouse Fish Bar," British, Fish and chips, Burgers, and Chicken", 4.6 ,
50, Hudson's," British, Burgers, Salads, and Brunch", 4.6 ,
51, New Morley," Chicken, Western, Burgers, and BBQ", 4.2 ,
52, Gourmet 2," Lebanese, Falafel, Mezze, and Dessert", 4.6 ,
53, Roosters Piri Piri ," Chicken, American, Dessert, and Burgers", 4.4 ,
54, Best of Werty (Multi Brand Ordering)," American, Burgers, Chicken, and Dumplings", 4.5 ,
55, Gun Smoke," American, Burgers, Chicken, and Milkshakes", 4.4 ,
56, VBELLY , British and Burgers, 4.7 ,
57, Victoria Grill Peri Peri," Burgers, Wraps, Chicken, and Salads", 4.7 ,
58, Sunday Roast @ The Regent, British and Burgers, 4.4 ,
59, Amigos Burgers ," Burgers, Chicken, American, and Milkshakes", 4.6 ,
60, Little Planted Kitchen ," British, Healthy, Salads, and Burgers", 4.6 ,
61, Cattle Grid @ The Earlsfield," American, Wings, Steak, and Burgers", 4.6 ,
62, Ma Plucker Chicken," British, Burgers, Fried chicken, and Wings", 4.0 ,
63, Rosie Lee Cafe, Burgers and Turkish, 4.4 ,
64, Capri Pizza Kebab & Fried Chicken," American, Pizza, Kebab, and Fried chicken", 4.0 ,
65, Mother's Breakfast," Breakfast, Pizza, Bagels, and Thai", 4.6 ,
66, Costas Cafe & Burger House," Breakfast, Brunch, Burgers, and Drinks", 4.6 ,
67,   Asian Fried Chicken by Tampopo," Chicken, Fried chicken, Korean, and Asian", 4.1 ,
68, Pirates Burgers," American, Burgers, and Chicken", 4.6 ,
69, Chicken Rules ," American, Burgers, Chicken, and Fried chicken", 4.1 ,
70, The Limes Burger, Burgers, 4.6 ,
